"gene","gene_name","zscore","effect_size","pvalue","var_g","pred_perf_r2","pred_perf_pval","pred_perf_qval","n_snps_used","n_snps_in_cov","n_snps_in_model","fdr"
"ENSG00000262098.1","CTD-2561B21.10",-3.58013534812209,-0.0630493623082558,0.000343416280768079,0.0121582684112951,0.0267789435023661,0.0360145216903669,NA,35,35,35,0.0137053785077347
"ENSG00000095539.15","SEMA4G",-3.57812520483654,-0.0267634706085395,0.000346067673742398,0.053760015783995,0.0586441167833955,0.00170894204750097,NA,72,74,74,0.0137053785077347
"ENSG00000101198.14","NKAIN4",3.55551153261883,0.0462063023155669,0.000377244395784015,0.0239011111632237,0.249739683047503,7.68045885403898e-12,NA,16,16,16,0.0148224372831672
"ENSG00000253641.5","LINCR-0001",3.55201288842069,0.0334460862507147,0.000382296134349886,0.0427634343164018,0.175145614091442,2.59587014119752e-08,NA,33,33,33,0.0149035758625463
"ENSG00000151917.17","BEND6",3.54058061093552,0.0403221026869201,0.000399247651893798,0.0292962689277541,0.344068050171419,8.27913383779352e-18,NA,32,32,32,0.0154168222351648
"ENSG00000007341.18","ST7L",3.53900341336486,0.037278127750732,0.000401640659433152,0.0350060780831892,0.217429544116693,1.25835477159677e-10,NA,11,11,11,0.0154168222351648
"ENSG00000203780.10","FANK1",3.53587459420725,0.171261345786004,0.000406427578183599,0.00180971856861093,0.0236282497943488,0.0479722294108527,NA,10,10,10,0.0154814779781386
"ENSG00000143578.15","CREB3L4",3.53111236555955,0.0826330835761037,0.000413815913555063,0.00641687847488946,0.0920703533176061,7.83652211687707e-05,NA,37,37,37,0.0156434955199982
"ENSG00000025423.11","HSD17B6",-3.52829541633363,-0.0776771888492316,0.000418245106556227,0.00815338199321176,0.155228671634699,4.9200198365322e-08,NA,3,3,3,0.0156920532459817
"ENSG00000182093.14","WRB",-3.52056235537591,-0.0564515355889888,0.000430632727558338,0.0134064305385304,0.0374443771078455,0.0142848861170641,NA,44,44,44,0.0160362485859411
"ENSG00000258144.1","RP11-554L12.1",-3.50030841797264,-0.0651476697414038,0.000464720146458487,0.00919438947141764,0.0437183004888452,0.00704096323744957,NA,5,5,5,0.0171753574880389
"ENSG00000100395.14","L3MBTL2",3.49837301793899,0.0378752173396261,0.00046810593554575,0.0278416898887438,0.169506061699104,2.17350402779882e-08,NA,56,56,56,0.0171753574880389
"ENSG00000254004.6","ZNF260",-3.48341637151793,-0.0991791959878586,0.000495057762416294,0.00387565475159914,0.0504194350921192,0.00423910272873868,NA,20,20,20,0.0180316659449438
"ENSG00000273198.1","GS1-304P7.3",3.47955600736771,0.0254855869118931,0.000502245376700386,0.0636321680214586,0.0814986034905372,0.000129662488979887,NA,59,61,61,0.0181609016647458
"ENSG00000130312.6","MRPL34",-3.47443507647727,-0.0427065126878921,0.000511930231274574,0.0259995441564772,0.431406353301968,4.73651006190239e-24,NA,9,9,9,0.0182899557171391
"ENSG00000124532.14","MRS2",3.47359526672252,0.0346616725604259,0.000513535022467303,0.0388591751873924,0.187323970966022,6.91311381336392e-09,NA,44,44,44,0.0182899557171391
"ENSG00000183172.8","SMDT1",-3.47143543514891,-0.076864225219092,0.000517683804843975,0.00770963015654824,0.170724984320953,1.60731694832655e-08,NA,39,40,40,0.0182899557171391
"ENSG00000136238.17","RAC1",-3.46878106873063,-0.123588485666638,0.000522825318474501,0.0028883219864198,0.0797245834168023,0.000276111598705076,NA,11,11,11,0.0182899557171391
"ENSG00000102882.11","MAPK3",-3.46777246144465,-0.127572903484496,0.000524791440305324,0.00276417273814614,0.0717004844604914,0.00055193183975585,NA,19,19,19,0.0182899557171391
"ENSG00000111300.9","NAA25",-3.46623265913753,-0.0640097319438218,0.000527806337328264,0.0109771799527933,0.115582127011248,6.01533379955227e-06,NA,32,32,32,0.0182899557171391
"ENSG00000091129.19","NRCAM",-3.45947172968702,-0.203713519949873,0.000541236089718725,0.000991399261529552,0.0616146501403148,0.0011695000114968,NA,12,12,12,0.0186046090058213
"ENSG00000006453.13","BAIAP2L1",3.45792976724794,0.0497039599771964,0.000544343269508999,0.015859445462452,0.110053756560838,1.57945468123695e-05,NA,45,45,45,0.0186046090058213
"ENSG00000121101.15","TEX14",-3.44990306809278,-0.0351615775687025,0.000560787872464623,0.03491425370867,0.100332121214525,2.98697545327437e-05,NA,51,51,51,0.019036268595908
"ENSG00000164081.12","TEX264",-3.43941765627553,-0.0548042260977102,0.000582967099599461,0.0143057207600605,0.189213660175348,5.17507484872611e-09,NA,62,62,62,0.0195914979591098
