"gene","gene_name","zscore","effect_size","pvalue","var_g","pred_perf_r2","pred_perf_pval","pred_perf_qval","n_snps_used","n_snps_in_cov","n_snps_in_model","fdr"
"ENSG00000229618.2","AC011288.2",-3.43320981550867,-0.0579578748639454,0.000596480318286983,0.0115681477712527,0.117365925596438,1.07059390999869e-05,NA,84,84,84,0.020077085676267
"ENSG00000124380.10","SNRNP27",-3.43044890531221,-0.0454320363359394,0.000602583445981327,0.0223515746104063,0.17285539140825,8.43133075483881e-08,NA,33,33,33,0.0201333763127879
"ENSG00000168803.14","ADAL",-3.41986319630758,-0.0279013832803049,0.000626526348413081,0.0556480876758868,0.281677737632166,2.32182223579862e-13,NA,22,22,22,0.0207805527532047
"ENSG00000110514.19","MADD",3.41473844919431,0.0584338692140676,0.000638432846806664,0.00851417047897918,0.242825230682666,1.23542894066664e-10,NA,50,50,50,0.0210220206948513
"ENSG00000105523.3","FAM83E",-3.41017580838955,-0.0402581608548015,0.000649210155873033,0.0268683690558371,0.0642736120631493,0.00198120863253922,NA,8,8,8,0.0212231003473889
"ENSG00000159958.6","TNFRSF13C",3.40542510836316,0.074230295608987,0.000660611302204989,0.0074937835770594,0.0351424566784318,0.0179171518002454,NA,12,12,12,0.0214342437897261
"ENSG00000175115.11","PACS1",-3.40357435771973,-0.0774588464907298,0.000665103075341412,0.00710271380245517,0.0696516727647043,0.000731912228412239,NA,12,13,13,0.0214342437897261
"ENSG00000214872.8","SMTNL1",-3.39962202765872,-0.0208133636634754,0.000674790619647566,0.0946608704821969,0.307985013800022,2.7786091653369e-14,NA,21,21,21,0.0215932998287221
"ENSG00000137101.12","CD72",-3.38800414172041,-0.0735861876635652,0.000704032012031469,0.00932339127981195,0.0897286675163187,0.000123628472840549,NA,16,16,16,0.022371478759937
"ENSG00000117245.12","KIF17",3.37903938948715,0.0898559510563441,0.000727395854026962,0.00537369581972877,0.161797217766125,1.24529647406119e-07,NA,6,6,6,0.0229509936784401
"ENSG00000259959.1","RP11-121C2.2",3.37716499074433,0.0762930072257627,0.000732371057080505,0.00666421901356713,0.127510933394943,6.21326175766178e-06,NA,5,5,5,0.0229509936784401
"ENSG00000028277.21","POU2F2",3.37253136025825,0.0690041373767446,0.000744806041199826,0.0107956961232339,0.084342525852146,0.000312570396683073,NA,7,7,7,0.0229926504662888
"ENSG00000125246.15","CLYBL",3.37107547149139,0.0339496945303149,0.00074875342193885,0.037410821049607,0.0946053722923904,0.000142815161957789,NA,49,49,49,0.0229926504662888
"ENSG00000148798.10","INA",3.37102877911043,0.219027088318792,0.00074888034089145,0.000774983608647123,0.0813462827088532,0.000387955605918414,NA,19,19,19,0.0229926504662888
