gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model
ENSG00000186952.14,TMEM232,-0.704896019077406,-0.00744939743807614,0.480874947748265,0.0043269476010071,0.0346747736972221,0.0211091102514331,,13,13,13
ENSG00000138095.18,LRPPRC,0.704078606390798,0.0108077588198788,0.481383822306207,0.0203579300091433,0.342845339552106,9.62612630181388e-16,,23,23,23
ENSG00000150433.9,TMEM218,-0.703973432036216,-0.0286154531391349,0.481449319141289,0.00273728504954841,0.0276362987185027,0.0381118664385937,,4,4,4
ENSG00000215012.8,C22orf29,0.703322437074461,0.0109411121532011,0.481854831087463,0.0222703925080874,0.173683235016852,4.69190450625805e-08,,44,44,44
ENSG00000272602.5,ZNF595,-0.702787043735519,-0.0181846747091564,0.482188472682157,0.0129899552844847,0.0517022042907005,0.00526377355565088,,20,20,20
ENSG00000181896.11,ZNF101,-0.702418174579489,-0.0066807964558529,0.482418414295517,0.0230876747189727,0.0846411193985693,0.000274717354916118,,11,11,11
ENSG00000149600.11,COMMD7,-0.70204932353924,-0.0187196486296461,0.482648404197353,0.00485412310713192,0.098297654894152,9.72097172276022e-05,,27,27,27
ENSG00000117477.12,CCDC181,-0.70191138988799,-0.0118383769687317,0.482734425349211,0.0194906642695048,0.151388244963762,8.00122473912258e-07,,22,22,22
ENSG00000103184.11,SEC14L5,-0.701836251980731,-0.0275937368676925,0.482781287972152,0.00287770083301162,0.0574739122563578,0.00301175097336447,,25,25,25
ENSG00000042445.13,RETSAT,0.701567461391878,0.0128771636725242,0.482948949711652,0.0149027835227598,0.0729170061665404,0.000404486315973751,,16,16,16
ENSG00000259431.5,THTPA,0.700951148680897,0.0127034842671078,0.483333502401888,0.0141154300908847,0.0311370373828871,0.0331588056343462,,22,22,22
ENSG00000143951.15,WDPCP,0.699343948717007,0.0125897751626916,0.484337107694942,0.00913964656680303,0.0439615472427792,0.00979741593460041,,21,21,21
ENSG00000226562.3,CYP4F26P,0.699250216572915,0.00649653054977929,0.484395672951307,0.0465852969009961,0.305926189002311,9.79576124365786e-14,,13,14,14
ENSG00000247982.6,LINC00926,-0.699093436894423,-0.0131579797221769,0.484493639837271,0.0133946607861807,0.0512145972471496,0.00619873889813295,,33,33,33
ENSG00000111196.9,MAGOHB,-0.698926921111279,-0.0117983517821627,0.484597702280037,0.0158891287447077,0.0650479143396617,0.00171292012574195,,48,48,48
ENSG00000236790.5,LINC00299,-0.698610441797264,-0.0118836768655967,0.484795516378107,0.0162473000691385,0.16255465171902,1.52203411040905e-07,,31,31,31
ENSG00000257261.5,RP11-96H19.1,-0.698416107110276,-0.0075590278290967,0.484917006154283,0.0390026520272993,0.220319815631641,1.24953630224672e-09,,30,30,30
ENSG00000101290.13,CDS2,-0.698087220965344,-0.00910727647244384,0.485122649344099,0.0124399358879427,0.050783882789128,0.00534255739121448,,44,44,44
ENSG00000042493.15,CAPG,0.696683739488524,0.0110481703397997,0.486000737109338,0.00898161871231824,0.186542478855487,6.74976325609448e-09,,29,29,29
ENSG00000256061.7,DYX1C1,-0.693658286413981,-0.00673665730720311,0.487896531470463,0.0417493014680789,0.047257206888551,0.00368986333099152,,80,81,81
ENSG00000277462.1,ZNF670,0.693432761793638,0.00987650346779862,0.488038008205005,0.0209836986886577,0.114142094039557,2.0929899696991e-05,,25,25,25
ENSG00000188732.10,FAM221A,-0.693278490666387,-0.00824804851257719,0.488134798744365,0.0291609761573526,0.142149418995369,1.55090399016373e-06,,53,53,53
ENSG00000197557.6,TTC30A,-0.69258545753054,-0.0115155146696323,0.488569739178944,0.012925020601966,0.0253932234571691,0.0462748259643794,,43,43,43
ENSG00000253853.1,GS1-57L11.1,-0.692078013282072,-0.0190913365822804,0.48888833837544,0.00625500937577421,0.0801955710665557,0.000480332161664539,,7,7,7
ENSG00000143119.12,CD53,-0.691568813714539,-0.00626422478919083,0.489208152140237,0.040090740969237,0.248973980479562,2.04561285797474e-11,,83,84,84
ENSG00000165555.9,NOXRED1,0.69127648663692,0.00971960711069234,0.489391805360911,0.0190547019310338,0.0654847584736714,0.00138073226685824,,17,17,17
ENSG00000186340.14,THBS2,0.691115936170636,0.0135803226177418,0.489492686286855,0.0139039449264694,0.125137926767646,7.2674260849771e-06,,40,41,41
ENSG00000188906.14,LRRK2,-0.69071478637213,-0.029654023266086,0.489744795289846,0.00350216999850648,0.0803341031072658,0.000435319804748648,,10,12,12
ENSG00000103175.10,WFDC1,0.690319421719141,0.0089721847175249,0.489993336885787,0.0219664600730707,0.101633294606352,7.60647846997489e-05,,52,52,52
ENSG00000162817.6,C1orf115,-0.689999546609099,-0.0293862727460282,0.490194472469568,0.00215438519030419,0.0829574459058295,0.00029143317164394,,18,18,18
ENSG00000110047.17,EHD1,0.688932413338494,0.0184786945053019,0.490865800643552,0.00497538440418029,0.0493901417447968,0.00575627611471291,,20,20,20
ENSG00000270629.5,NBPF14,-0.688816690136332,-0.0198488970299949,0.490938631209165,0.0089422176406203,0.0564630334314461,0.00359312766013461,,27,28,28
ENSG00000107593.16,PKD2L1,-0.687954940923832,-0.00870927142017417,0.4914811568818,0.0263682565465205,0.0900803238037687,0.000191491163394002,,47,48,48
ENSG00000269949.1,RP11-738E22.3,-0.687793834961604,-0.00469105415718151,0.491582618984766,0.0719262415216604,0.138947849220481,2.79161365228963e-06,,40,40,40
ENSG00000123545.5,NDUFAF4,-0.687546494269785,-0.0172098329582592,0.491738412299573,0.00671825098006432,0.185554502013409,2.72665660175238e-08,,15,15,15
ENSG00000095587.8,TLL2,-0.687228113459104,-0.0227483509558296,0.491938990896903,0.00365981450361901,0.125832663800275,6.29052954729969e-06,,4,4,4
ENSG00000100461.17,RBM23,0.685870935692478,0.00797858059296096,0.492794499485809,0.0301582275184329,0.231991967994892,2.95126273041916e-10,,35,35,35
ENSG00000273374.1,RP11-383I23.2,0.685447698087766,0.0107269635029414,0.493061453931537,0.0122212394105266,0.0625107508016109,0.00174659662716553,,19,19,19
ENSG00000273203.1,AC006946.16,0.685191778576473,0.00487402855867004,0.493222911126371,0.0624145587843834,0.284415676061397,8.39623503798752e-13,,13,13,13
ENSG00000278023.5,RDM1,0.685011673822509,0.00612191932740721,0.493336554484496,0.0264894610510284,0.0431271756489963,0.0104722197539271,,15,15,15
